accuracy,f1_score,sensitivity,specificity
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
100.0,1.0,1.0,1.0
