epoch,time,lr,loss,acc,val_loss,val_acc
1,238.90294979199825,0.001,0.6894947702066014,71.57196049862392,0.29118282622006275,89.63730569948187
2,225.52291679100017,0.001,0.3190616601799151,88.99141978306622,0.1684163337467248,94.04145077720207
3,225.5444776249933,0.001,0.23670390848976827,92.01877934272301,0.24623360764235258,92.35751295336787
4,225.53252633300144,0.001,0.18602918564877657,93.99384814634936,0.2828236651302851,88.47150259067358
5,228.24183604199789,0.001,0.1606338824947154,94.33381900598997,0.08358642316563296,96.37305699481865
6,226.4270078749978,0.001,0.13791791251104435,95.15946252226,0.09940209619006035,96.50259067357513
7,225.26895912500913,0.001,0.11320371325393894,96.04986239274729,0.15361417949662926,94.55958549222798
8,226.48223183299706,0.001,0.11260958761579883,96.0660514813016,0.08690675327474724,96.76165803108809
9,226.62287449999712,0.001,0.08319022271390754,97.31261129998381,0.09751248131433762,96.11398963730569
10,226.5541163750022,0.001,0.07059598302202393,97.53925853974421,0.12741001471491056,96.11398963730569
